▮▮▮▮ root:build-web (ce718f2e)
   0. 7s  INFO Building project...
   4.971s  INFO Compiled [242/366]: indexmap
   4.993s  INFO Compiled [243/366]: png
   5.133s  INFO Compiled [244/366]: num_bigint
   5.146s  INFO Compiled [245/366]: regex_lite
   5.164s  INFO Compiled [246/366]: serde_json
   5.169s  INFO Compiled [247/366]: image_webp
   5.204s  INFO Compiled [248/366]: nom
   5.341s  INFO Compiled [249/366]: winnow
   5.344s  INFO Compiled [250/366]: serde_json
   5.469s  INFO Compiled [251/366]: num_rational
   5.511s  INFO Compiled [252/366]: rayon
   5.597s  INFO Compiled [253/366]: maybe_rayon
   5.743s  INFO Compiled [254/366]: clap_builder
   5.747s  INFO Compiled [255/366]: pxfm
   5.785s  INFO Compiled [256/366]: ttf_parser
   5.806s  INFO Compiled [257/366]: tiny_skia
   6.48s  INFO Compiled [258/366]: syn
   6.118s  INFO Compiled [259/366]: regex_automata
   6.140s  INFO Compiled [260/366]: petgraph
   6.194s  INFO Compiled [261/366]: dioxus_html_internal_macro
   6.194s  INFO Compiled [262/366]: profiling_procmacros
   6.205s  INFO Compiled [263/366]: proc_macro2_diagnostics
   6.205s  INFO Compiled [264/366]: warnings_macro
   6.218s  INFO Compiled [265/366]: matchers
   6.236s  INFO Compiled [266/366]: const_serialize_macro
   6.243s  INFO Compiled [267/366]: macro_string
   6.250s  INFO Compiled [268/366]: const_serialize_macro
   6.258s  INFO Compiled [269/366]: fax_derive
   6.264s  INFO Compiled [270/366]: arg_enum_proc_macro
   6.277s  INFO Compiled [271/366]: profiling
   6.312s  INFO Compiled [272/366]: equator_macro
   6.362s  INFO Compiled [273/366]: dioxus_stores_macro
   6.373s  INFO Compiled [274/366]: futures_macro
   6.390s  INFO Compiled [275/366]: const_serialize
   6.399s  INFO Compiled [276/366]: async_trait
   6.408s  INFO Compiled [277/366]: const_serialize
   6.408s  INFO Compiled [278/366]: pin_project_internal
   6.459s  INFO Compiled [279/366]: pin_project
   6.459s  INFO Compiled [280/366]: equator
   6.466s  INFO Compiled [281/366]: num_derive
   6.476s  INFO Compiled [282/366]: fax
   6.483s  INFO Compiled [283/366]: sledgehammer_bindgen_macro
   6.505s  INFO Compiled [284/366]: tracing_attributes
   6.560s  INFO Compiled [285/366]: thiserror_impl
   6.568s  INFO Compiled [286/366]: aligned_vec
   6.576s  INFO Compiled [287/366]: zerocopy_derive
   6.610s  INFO Compiled [288/366]: thiserror
   6.662s  INFO Compiled [289/366]: tracing
   6.718s  INFO Compiled [290/366]: warnings
   6.718s  INFO Compiled [291/366]: dioxus_rsx
   6.773s  INFO Compiled [292/366]: clap_derive
   6.807s  INFO Compiled [293/366]: clap
   6.821s  INFO Compiled [294/366]: generational_box
▮▮▮▮ root:build-web (6s 843ms, ce718f2e)

Tasks: 1 skipped
 Time: 43s 553ms (interrupted)
